Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
32239,2010-01-13-C-32NM,201001,20100106670500,06670500,20-1001NM-MX-002-1946-06670500,066.7 050.0,1,MBR,-11.56300,02/01/2010,2010,2,40180,2,12/30/1899 19:46:00,36.786667,36,47.200000,N,-122.036667,-122,2.200000,W,66.7,66.700000,66.700000,50.0,50.000000,49.800000,801,10,,RV NEW HORIZON,32NM,MX,78,772,,66.7 50.0,3101,1001,68.40000,,,,,,,27,2,10,2,3,1013.200,13.00000,11.00000,1,2,5,7
32240,2010-01-13-C-32NM,201001,20100106670550,06670550,20-1001NM-MX-033-0034-06670550,066.7 055.0,1,MBR,-32.14700,02/02/2010,2010,2,40211,33,12/30/1899 00:34:00,36.616667,36,37.000000,N,-122.410000,-122,24.600000,W,66.7,66.700000,66.700000,55.0,55.000000,55.000000,2868,,,RV NEW HORIZON,32NM,MX,79,782,,66.7 55.0,3101,1001,51.10000,,,,,,,27,2,9,11,7,1011.400,13.40000,11.10000,2,6,7,7
32241,2010-01-13-C-32NM,201001,20100106670600,06670600,20-1001NM-MX-033-0514-06670600,066.7 060.0,1,MBR,-52.36800,02/02/2010,2010,2,40211,33,12/30/1899 05:14:00,36.456667,36,27.400000,N,-122.780000,-122,46.800000,W,66.7,66.700000,66.700000,60.0,60.000000,60.100000,2962,,,RV NEW HORIZON,32NM,MX,80,792,,66.7 60.0,3101,1001,38.10000,,,,,,,,,,9,8,1011.100,13.50000,11.90000,,,,
32242,2010-01-13-C-32NM,201001,20100106670650,06670650,20-1001NM-MX-033-0951-06670650,066.7 065.0,1,MBR,-71.73700,02/02/2010,2010,2,40211,33,12/30/1899 09:51:00,36.290000,36,17.400000,N,-123.123333,-123,7.400000,W,66.7,66.700000,66.700000,65.0,65.000000,64.900000,3265,,,RV NEW HORIZON,32NM,MX,81,802,,66.7 65.0,3101,1001,55.00000,,,,,,,,,,10,3,1010.100,13.50000,12.40000,,,,
32243,2010-01-13-C-32NM,201001,20100106670700,06670700,20-1001NM-MX-033-1330-06670700,066.7 070.0,1,MBR,-92.31000,02/02/2010,2010,2,40211,33,12/30/1899 13:30:00,36.116667,36,7.000000,N,-123.490000,-123,29.400000,W,66.7,66.700000,66.700000,70.0,70.000000,70.100000,3568,,,RV NEW HORIZON,32NM,MX,82,812,,66.7 70.0,3101,1001,51.40000,,,,,,,,,,16,7,1009.300,13.00000,11.60000,,,,
32244,2010-01-13-C-32NM,201001,20100106670750,06670750,20-1001NM-MX-033-1801-06670750,066.7 075.0,1,MBR,-112.2600,02/02/2010,2010,2,40211,33,12/30/1899 18:01:00,35.953333,35,57.200000,N,-123.848333,-123,50.900000,W,66.7,66.700000,66.700000,75.0,75.000000,75.100000,3879,11,,RV NEW HORIZON,32NM,MX,83,822,,66.7 75.0,3101,1001,42.10000,,,,,,,28,3,7,36,2,1010.400,14.10000,12.20000,1,6,4,7
32245,2010-01-13-C-32NM,201001,20100106670800,06670800,20-1001NM-MX-033-2116-06670800,066.7 080.0,1,MBR,-131.8620,02/02/2010,2010,2,40211,33,12/30/1899 21:16:00,35.793333,35,47.600000,N,-124.200000,-124,12.000000,W,66.7,66.700000,66.700000,80.0,80.000000,80.000000,3949,11,,RV NEW HORIZON,32NM,MX,84,832,,66.7 80.0,3101,1001,44.00000,,,,,,,28,5,10,11,3,1008.800,14.50000,13.20000,1,4,5,7
32246,2010-01-13-C-32NM,201001,20100106670850,06670850,20-1001NM-MX-061-0153-06670850,066.7 085.0,1,MBR,-151.9080,02/03/2010,2010,2,40239,61,12/30/1899 01:53:00,35.620000,35,37.200000,N,-124.551667,-124,33.100000,W,66.7,66.700000,66.700000,85.0,85.000000,85.000000,4240,,,RV NEW HORIZON,32NM,MX,85,842,,66.7 85.0,3101,1001,41.20000,,,,,,,27,6,11,18,4,1009.700,13.80000,12.00000,1,6,3,8
32247,2010-01-13-C-32NM,201001,20100106670900,06670900,20-1001NM-MX-061-0506-06670900,066.7 090.0,1,MBR,-171.8480,02/03/2010,2010,2,40239,61,12/30/1899 05:06:00,35.453333,35,27.200000,N,-124.905000,-124,54.300000,W,66.7,66.700000,66.700000,90.0,90.000000,90.000000,4396,,,RV NEW HORIZON,32NM,MX,86,852,,66.7 90.0,3101,1001,48.90000,,,,,,,,,,13,4,1010.000,13.30000,12.10000,,,,
32248,2010-01-13-C-32NM,201001,20100106700477,06700477,20-1001NM-MX-002-1711-06700477,067.0 047.7,1,NST,-6.300000,02/01/2010,2010,2,40180,2,12/30/1899 17:11:00,36.798333,36,47.900000,N,-121.846667,-121,50.800000,W,67.0,67.000000,67.100000,47.7,47.700000,47.700000,227,3,,RV NEW HORIZON,32NM,MX,77,762,,67.1 47.7,3101,1001,75.50000,,,,,,,27,2,5,4,11,1013.100,10.60000,8.600000,1,0,3,7
