Cst_Cnt,Btl_Cnt,Depth (m),T_degC,SiO3uM,PO4uM,NO2uM,NO3uM,NH3uM,LightP,Bottle Number,studyName,Latitude,Longitude,Line_x,Station_x,Line_y,Station_y,Diatom < 5um,Diatom 5-10um,Diatom 10-20um,Diatom 20-40um,Diatom > 40um,Total Diatom
30658,766457,10,14.8,3.0,0.47,0.21,2.9,,,7.0,2004-11-02-C-33RR,3445,-12052,80.0,51.0,80.0,51.0,0.0,0.17,2.88,4.64,1.24,8.92
30658,766458,20,14.59,3.3,0.53,0.25,3.6,,,6.0,2004-11-02-C-33RR,3445,-12052,80.0,51.0,80.0,51.0,0.11,0.0,1.5,3.84,3.34,8.79
30658,766461,50,13.26,7.0,0.86,0.26,8.4,,,3.0,2004-11-02-C-33RR,3445,-12052,80.0,51.0,80.0,51.0,0.0,0.0,1.55,1.03,0.23,2.82
30659,766466,10,15.14,0.7,0.34,0.06,1.2,,,19.0,2004-11-02-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.0,4.54,6.98,1.86,13.38
30659,766467,20,15.1,0.8,0.35,0.07,1.4,,,18.0,2004-11-02-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.43,0.46,0.0,0.0,0.89
30659,766468,30,14.93,1.4,0.41,0.1,2.2,,,17.0,2004-11-02-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,1.27,2.75,1.45,2.24,7.71
30661,766531,10,16.42,1.5,0.29,0.0,0.1,,,20.0,2004-11-02-C-33RR,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.0,0.0,0.06,0.06
30661,766534,30,16.35,1.5,0.29,0.0,0.1,,,18.0,2004-11-02-C-33RR,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
30661,766536,40,16.17,1.5,0.31,0.02,0.1,,,16.0,2004-11-02-C-33RR,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
30662,766563,10,16.43,1.2,0.27,0.01,0.1,,,19.0,2004-11-02-C-33RR,3348,-12253,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.02,0.0,0.03
30662,766565,30,16.36,1.3,0.27,0.01,0.2,,,17.0,2004-11-02-C-33RR,3348,-12253,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.02,0.02,0.04
30662,766567,50,11.96,9.4,1.17,0.04,14.2,,,15.0,2004-11-02-C-33RR,3348,-12253,80.0,80.0,80.0,80.0,0.0,0.15,0.04,0.0,0.0,0.19
